service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
185705,0,1,0,1,0,0,0,20230701,20280930
185706,0,0,0,1,0,0,0,20250915,20261123
185721,1,1,1,1,1,1,1,20220101,20261231
185763,1,1,1,1,1,0,0,20211201,20261123
185889,1,1,1,1,1,0,0,20250915,20261123
185890,0,0,0,0,0,1,1,20250915,20261123
185920,1,0,1,0,1,0,0,20250915,20261123
185922,0,1,0,1,0,0,0,20250915,20261123
185930,0,0,0,0,0,1,1,20250915,20261123
186013,1,1,1,1,1,1,1,20211201,20300131
186048,0,0,0,0,0,1,0,20250915,20261123
186070,0,0,0,0,0,0,1,20250915,20261123
186074,0,0,0,0,0,1,0,20250915,20261123
186075,1,1,1,1,1,0,0,20250915,20261123
186082,1,1,1,1,1,0,0,20250915,20261123
186085,0,0,0,0,0,1,0,20250915,20261123
186086,0,0,0,0,0,0,1,20250915,20261123
186088,1,1,1,1,1,0,0,20250915,20261123
186307,1,1,1,1,1,0,0,20250915,20261123
186308,1,1,1,1,1,0,0,20250915,20261123
186429,0,0,0,0,0,1,0,20230301,20261123
186432,0,0,0,0,0,0,1,20250801,20261123
186433,1,1,1,1,1,0,0,20230301,20261123
186549,1,1,1,1,1,1,1,20220101,20261231
186569,1,1,1,1,1,1,1,20220101,20261231
186570,1,1,1,1,1,1,1,20220101,20261231
186575,0,0,0,0,0,1,1,20220526,20261123
186576,0,0,0,0,0,1,1,20220526,20261123
186577,0,0,0,0,0,1,1,20220526,20261123
186578,0,0,0,0,0,1,1,20220526,20261123
186579,0,0,0,0,0,1,1,20220526,20261123
186580,0,0,0,0,0,1,1,20220526,20261123
186581,0,0,0,0,0,1,1,20220526,20261123
186815,1,1,1,1,1,0,0,20250901,20260609
186823,0,0,0,0,0,0,1,20220330,20261231
186826,1,1,1,1,1,1,1,20220101,20261231
186828,1,1,1,1,1,1,1,20220101,20261231
187012,0,0,0,0,0,1,1,20211210,20261123
187013,0,0,0,0,0,1,1,20211210,20261123
187014,0,0,0,0,0,1,1,20211210,20261123
187015,0,0,0,0,0,1,1,20211210,20261123
187332,1,1,1,1,1,0,0,20211208,20261123
187357,1,1,1,1,1,0,0,20250801,20261123
187731,1,1,1,1,1,1,1,20210102,20300617
188865,1,1,0,1,1,0,0,20220110,20261123
188873,1,1,0,1,1,0,0,20220110,20261123
188892,1,1,1,1,1,0,0,20220110,20261123
189380,0,0,0,0,1,0,0,20220201,20261123
189381,1,0,0,0,0,0,0,20220201,20261123
189383,1,0,0,0,1,0,0,20220201,20261123
189384,0,0,0,0,1,0,0,20220201,20261123
189385,1,0,0,0,0,0,0,20220201,20261123
189395,1,1,1,1,1,0,0,20220201,20261123
189402,1,1,1,1,1,0,0,20220201,20261123
189405,1,1,1,1,1,0,0,20220201,20261123
189667,0,0,0,0,0,1,0,20250915,20261123
189668,0,0,0,0,0,0,1,20250915,20261123
189763,1,1,1,1,1,0,0,20250915,20261123
189770,0,1,0,0,0,0,0,20250915,20261123
189775,0,1,0,1,0,0,0,20250915,20261123
190122,1,1,1,1,0,0,0,20220301,20261123
190150,1,1,1,1,1,1,1,20220221,20260131
190280,1,1,1,1,1,0,0,20250901,20260612
190721,1,1,1,1,1,0,0,20250915,20261123
190816,0,0,0,0,0,1,0,20250915,20261123
191123,1,1,1,1,1,0,0,20250915,20261123
191132,1,1,1,1,1,0,0,20250915,20261123
191147,0,0,0,0,0,1,0,20250915,20261123
191156,0,0,0,0,0,1,1,20230301,20300331
191220,1,1,1,1,1,0,0,20220401,20300331
191221,0,0,0,0,0,1,1,20220401,20300331
191222,0,0,0,0,0,1,1,20220401,20300331
191232,0,0,0,0,0,1,0,20220401,20300331
191233,0,0,0,0,0,1,0,20220401,20300331
191235,1,0,1,0,1,0,0,20220401,20300331
191236,0,1,0,1,0,0,0,20220401,20300331
191237,0,0,0,0,0,1,0,20220401,20300331
191244,1,1,1,1,1,0,0,20250901,20260616
191245,1,1,1,1,1,0,0,20220401,20300331
191246,1,0,0,1,0,0,0,20250901,20260616
191247,0,0,0,0,0,1,1,20220401,20300331
191248,0,0,0,0,0,1,1,20220401,20300331
191249,0,0,0,0,0,1,1,20220401,20300331
191274,1,1,1,1,1,0,0,20250901,20260616
191280,0,1,0,1,0,0,0,20220401,20300331
191298,0,0,0,0,0,1,0,20220401,20300331
191316,1,1,1,1,1,0,0,20220401,20300331
191317,0,1,0,0,1,0,0,20220401,20300331
191410,1,1,1,1,1,0,0,20250915,20261123
191500,1,1,1,1,1,0,0,20250915,20261123
191501,0,0,0,0,0,1,1,20250915,20261123
191527,1,1,1,1,1,0,0,20250915,20261123
191528,1,1,1,1,1,0,0,20250915,20261123
191529,0,0,0,0,0,1,1,20250915,20261123
191530,0,0,0,0,0,1,1,20250915,20261123
191556,1,1,1,1,1,0,0,20250915,20261123
191749,1,1,1,1,1,1,1,20250915,20261123
191951,1,1,1,1,1,1,1,20250915,20261123
191954,0,0,0,0,0,0,1,20250915,20261123
192227,1,1,1,1,1,0,0,20250915,20261123
192228,1,1,1,1,1,0,0,20250915,20261123
192281,1,1,1,1,1,1,1,20220501,20270430
192446,1,1,1,1,1,0,0,20220411,20251130
192641,1,1,1,1,1,1,0,20220425,20270831
192860,1,1,1,1,1,1,0,20220509,20300712
192861,0,0,0,0,1,1,1,20220509,20260131
192862,0,0,0,0,1,1,1,20220509,20260131
192864,0,0,0,0,0,1,1,20220509,20270508
192902,1,1,1,1,1,0,0,20220501,20261123
192906,1,1,1,1,1,1,0,20220501,20261123
192907,1,1,1,1,1,1,0,20220501,20261123
192909,1,1,0,1,1,0,0,20220501,20261123
193525,0,0,0,0,0,1,0,20220509,20300712
194764,1,1,1,1,1,1,1,20220613,20270612
194991,1,1,1,1,1,1,1,20220601,20261123
194995,1,1,1,1,1,1,1,20220601,20261123
195006,0,0,0,0,0,1,1,20250801,20261123
195942,1,1,1,1,1,1,0,20220614,20261123
196063,1,1,1,1,1,1,1,20250518,20300518
196342,1,1,1,1,1,0,1,20220614,20261123
196343,1,1,1,1,1,0,0,20230615,20261123
196384,1,1,1,1,1,0,0,20220614,20261123
196385,0,0,0,0,0,0,1,20220614,20261123
196497,1,1,1,1,1,0,0,20220614,20261123
196519,1,1,1,1,1,1,1,20220627,20300913
196701,1,1,1,1,1,1,1,20210618,20251227
196939,0,0,0,0,0,1,0,20251103,20261123
196940,0,0,0,0,0,1,0,20251103,20261123
196941,0,0,0,0,0,1,0,20251103,20261123
196942,0,0,0,0,0,1,0,20251103,20261123
196969,1,1,1,1,1,1,1,20231211,20300331
196970,1,1,1,1,1,1,1,20231211,20300331
198040,1,1,1,1,1,1,1,20220730,20290930
198917,1,1,1,1,1,0,0,20250915,20261123
198918,0,0,0,0,0,1,0,20250915,20261123
199089,1,1,1,1,1,0,0,20250901,20261123
199322,1,0,1,0,1,0,0,20250915,20261123
199323,0,1,0,1,0,0,0,20250915,20261123
199324,0,0,0,0,0,1,0,20250915,20261123
199325,0,0,0,0,0,0,1,20250915,20261123
199340,1,1,1,1,1,0,0,20250915,20261123
199341,0,0,0,0,0,1,0,20250915,20261123
199356,0,0,0,1,0,0,0,20250915,20261123
199543,0,1,0,0,0,0,0,20250915,20261123
199656,0,0,0,0,0,0,1,20251103,20261123
199657,0,0,0,0,0,0,1,20251103,20261123
199658,0,0,0,0,0,0,1,20251103,20261123
199659,0,0,0,0,0,0,1,20251103,20261123
199679,1,1,1,1,1,0,0,20250915,20261123
199841,1,1,1,1,1,1,1,20220822,20270821
199979,1,1,1,1,1,1,1,20220822,20270830
200055,1,1,1,1,1,0,0,20250915,20261123
200056,0,0,0,0,0,1,1,20250915,20261123
200114,1,1,1,1,1,0,0,20220901,20261123
200115,1,1,1,1,1,1,0,20220901,20261123
200433,1,1,1,1,1,0,0,20220901,20261231
200731,1,1,1,1,1,1,1,20241201,20291201
201118,1,1,1,1,1,0,0,20220909,20261123
201130,0,0,0,0,0,1,1,20220909,20261123
201276,1,1,1,1,1,1,1,20220912,20260131
201833,1,1,1,1,1,1,0,20221003,20270831
201834,1,1,1,1,1,1,0,20221003,20270831
201906,0,0,0,0,0,0,1,20251001,20261123
201966,1,1,1,1,1,0,0,20221003,20270831
202213,1,0,1,1,1,0,0,20250915,20261123
202248,1,1,1,1,1,1,1,20250518,20300518
202528,0,0,0,0,1,0,0,20251001,20260331
202529,1,1,1,1,1,1,1,20251001,20260331
202530,1,1,1,1,0,1,1,20251001,20260331
202903,1,1,1,1,1,1,1,20221012,20300331
202975,1,1,1,1,1,0,0,20230101,20280630
203162,1,1,1,1,1,0,0,20230101,20280630
203339,1,1,1,1,1,0,0,20250915,20261123
203345,0,0,0,0,0,1,1,20250915,20261123
203346,0,1,0,0,0,0,0,20250915,20261123
203751,1,1,1,1,1,0,0,20230701,20280930
203755,1,1,1,1,1,0,0,20230701,20280930
